"title","level","service","category","description","id"
"Persistence and Execution at Scale via GPO Scheduled Task","high","security","","Detect lateral movement using GPO scheduled task, usually used to deploy ransomware at scale","01628b51-85e1-4088-9432-a11cba9f3ebd"
"DFS Namespace Removal","low","dfsn-server","","Detects removal of a DFS namespace, which may be indicative of a forced authentication attack through tools such as DFSCoerce. If the DFS server specified is not expected, this should be correlated with Named Pipe events to ""\netdfs"" and NTLM authentications for further investigation.","0346e3b9-3783-468f-9e07-ef8d490846eb"
"Failed DNS Zone Transfer","medium","dns-server","","Detects when a DNS zone transfer failed.","04768e11-3acf-895f-9193-daae77c4678f"
"Windows AppX Deployment Full Trust Package Installation","medium","appxdeployment-server","","Detects the installation of MSIX/AppX packages with full trust privileges which run with elevated privileges outside normal AppX container restrictions","04a566d1-0df3-90bd-15c9-6c23688e9380"
"AD Object WriteDAC Access","critical","security","","Detects WRITE_DAC access to a domain object","09c08048-5eab-303f-dfe3-706a6052b6f9"
"Important Scheduled Task Deleted or Disabled","high","taskscheduler","","Detects when adversaries try to stop system services or processes by deleting or disabling their respective scheduled tasks in order to conduct data destructive activities
","0c0e2be2-30d2-c713-0c9c-63cd9752a940"
"Network Connection Initiated By IMEWDBLD.EXE","high","","network_connection","Detects a network connection initiated by IMEWDBLD.EXE. This might indicate potential abuse of the utility as a LOLBIN in order to download arbitrary files or additional payloads.
","0f4d93f0-a1eb-e6cb-7d79-f38cc95a9a55"
"Dllhost.EXE Initiated Network Connection To Non-Local IP Address","medium","","network_connection","Detects Dllhost.EXE initiating a network connection to a non-local IP address.
Aside from Microsoft own IP range that needs to be excluded. Network communication from Dllhost will depend entirely on the hosted DLL.
An initial baseline is recommended before deployment.
","1062d249-f014-9faf-044e-2b75d6f9763f"
"OpenSSH Server Listening On Socket","medium","openssh","","Detects scenarios where an attacker enables the OpenSSH server and server starts to listening on SSH socket.","12800c31-cb60-9d63-bcc2-9ad342585c3a"
"Suspicious PowerShell Download","medium","powershell","","Detects suspicious PowerShell download command","12f93a4e-cd0e-18d7-6969-b345ecc8d40a"
"HH.EXE Initiated HTTP Network Connection","medium","","network_connection","Detects a network connection initiated by the ""hh.exe"" process to HTTP destination ports, which could indicate the execution/download of remotely hosted .chm files.
","13790f2d-97b2-d1a0-6624-1061d7ccbb8c"
"Network Connection Initiated By Eqnedt32.EXE","high","","network_connection","Detects network connections from the Equation Editor process ""eqnedt32.exe"".","141fe5f1-4de3-21fd-1b09-8d53f1019340"
"Outbound Network Connection Initiated By Script Interpreter","high","","network_connection","Detects a script interpreter wscript/cscript opening a network connection to a non-local network. Adversaries may use script to download malicious payloads.","1487f05c-b749-4322-d657-d20a2eea7e47"
"DNS Query To MEGA Hosting Website - DNS Client","medium","dns-client","","Detects DNS queries for subdomains related to MEGA sharing website","14b17417-8ae7-ff8e-fe36-28aaa337ccd5"
"Tap Driver Installation - Security","low","security","","Detects the installation of a well-known TAP driver service. This could be a sign of potential preparation for data exfiltration using tunnelling techniques.
","15284efb-90de-5675-59c5-433d34675e8e"
"Potential AS-REP Roasting via Kerberos TGT Requests","medium","security","","Detects suspicious Kerberos TGT requests with pre-authentication disabled (Pre-Authentication Type = 0) and Ticket Encryption Type (0x17) i.e, RC4-HMAC.
This may indicate an AS-REP Roasting attack, where attackers request AS-REP messages for accounts without pre-authentication and attempt to crack the encrypted ticket offline to recover user passwords.
","15481d86-14a7-85e7-b1a2-ff2eab19060e"
"Possible Hidden Service Created","medium","security","","User requested to modify the Dynamic Access Control (DAC) permissions of a service, possibly to hide it from view.","15db3cc7-30bd-47a0-bd75-66208ce8e3fe"
"Windows Network Access Suspicious desktop.ini Action","medium","security","","Detects unusual processes accessing desktop.ini remotely over network share, which can be leveraged to alter how Explorer displays a folder's content (i.e. renaming files) without changing them on disk.","192d9d70-11ad-70e5-9d6c-d32a1ec74857"
"Potential Kerberos Coercion by Spoofing SPNs via DNS Manipulation","high","security","","Detects modifications to DNS records in Active Directory where the Distinguished Name (DN) contains a base64-encoded blob
matching the pattern ""1UWhRCAAAAA...BAAAA"". This pattern corresponds to a marshaled CREDENTIAL_TARGET_INFORMATION structure,
commonly used in Kerberos coercion attacks. Adversaries may exploit this to coerce victim systems into authenticating to
attacker-controlled hosts by spoofing SPNs via DNS. It is one of the strong indicators of a Kerberos coercion attack,.
where adversaries manipulate DNS records to spoof Service Principal Names (SPNs) and redirect authentication requests like CVE-2025-33073.
Please investigate the user account that made the changes, as it is likely a low-privileged account that has been compromised.
","19da3c91-0fcd-61d5-5b4f-bde550a79070"
"RDP Attempt","informational","","","","1a850b71-6aef-4f31-a509-f31b2c778476"
"msDS-ManagedAccountPrecededByLink Attribute Modified","medium","security","","Detects modifications to the msDS-ManagedAccountPrecededByLink attribute, which may indicate an attempted or successful abuse of the BaD-Successor msDS-DelegatedManagedServiceAccount (DMSA) vulnerability.
The DMSA is a new object class introduced in Windows Server 2025 that allows administrators to delegate the management of service accounts to other users or groups.
Changes to this attribute by suspicious accounts or outside of normal administrative workflows are a strong signal of an attempted or successful abuse.
If it is indeed modified by an account that is not typically responsible for such changes, it could indicate an attempt to exploit the BaD-Successor vulnerability for privilege escalation within the Windows Server 2025 Active Directory environment.
","1acd5528-43c1-ed53-4ded-2aa1bddff1de"
"Metasploit Or Impacket Service Installation Via SMB PsExec","high","security","","Detects usage of Metasploit SMB PsExec (exploit/windows/smb/psexec) and Impacket psexec.py by triggering on specific service installation","1b037a84-214e-b58a-53ae-949542063f1f"
"Network Connection Initiated From Process Located In Potentially Suspicious Or Uncommon Location","high","","network_connection","Detects a network connection initiated by programs or processes running from suspicious or uncommon files system locations.
","1ba0b3d6-e0f7-98e9-4611-b307922a0766"
"Uncommon Outbound Kerberos Connection - Security","medium","security","","Detects uncommon outbound network activity via Kerberos default port indicating possible lateral movement or first stage PrivEsc via delegation.
","1ee90f6c-2d09-5bcf-b8fd-06fe14f86746"
"Failed NTLM Logins with Different Accounts from Single Source System","medium","security","","Detects suspicious failed logins with different user accounts from a single source system","203aaec0-5613-4fdc-42b3-a021d6f853dc"
"Dir Svc Obj Modified","informational","security","","Directory Service Object Modified. Log written only to domain controllers (2008+)","22ee9fb7-64ca-4eed-92de-d1dbef1170b8"
"Security Event Log Cleared","medium","security","","Checks for event id 1102 which indicates the security event log was cleared.","23f0b75b-66c0-4895-ae63-4243fa898109"
"RDS GTW Logon Error","low","","","","24a04758-729d-4c43-9bd5-cccd31db80d0"
"Impacket PsExec Execution","high","security","","Detects execution of Impacket's psexec.py.","24e370e0-b9f0-5851-0261-f984742ff2a1"
"RDS GTW Logon","informational","","","","27648a93-cfc0-4903-beb2-9395e784a484"
"Win Susp Computer Name Containing Samtheadmin","critical","security","","Detects suspicious computer name samtheadmin-{1..100}$ generated by hacktool","2875c85a-58eb-ca3b-80a3-4cdd8ffa41a8"
"Potential RemoteFXvGPUDisablement.EXE Abuse","high","powershell-classic","","Detects PowerShell module creation where the module Contents are set to ""function Get-VMRemoteFXPhysicalVideoAdapter"". This could be a sign of potential abuse of  the ""RemoteFXvGPUDisablement.exe"" binary which is known to be vulnerable to module load-order hijacking.","29a3935d-0428-4f39-d39e-ec43c598b272"
"Failed MSExchange Transport Agent Installation","high","msexchange-management","","Detects a failed installation of a Exchange Transport Agent","29ec9279-2899-b0a0-0b41-6bf40cdda885"
"DNS Query for Anonfiles.com Domain - DNS Client","high","dns-client","","Detects DNS queries for anonfiles.com, which is an anonymous file upload platform often used for malicious purposes","2abf05fa-98f2-d00b-6a6a-12d07e55233e"
"VHDX Mounted","low","vhdmp","","A VHDX (Virtual Hard Disk version 2) image was mounted. They are often used with WSL disk partitions.","2c544083-e209-4a8d-ad28-4f1427353d2e"
"Suspicious Kerberos RC4 Ticket Encryption","medium","security","","Detects service ticket requests using RC4 encryption type","2d20edf4-6141-35c5-e54f-3c578082d1d3"
"First Time Seen Remote Named Pipe","high","security","","This detection excludes known namped pipes accessible remotely and notify on newly observed ones, may help to detect lateral movement and remote exec using named pipes","308a3356-4624-7c95-24df-cf5a02e5eb56"
"Exchange Set OabVirtualDirectory ExternalUrl Property","high","msexchange-management","","Rule to detect an adversary setting OabVirtualDirectory External URL property to a script in Exchange Management log","30eb1897-ab7e-5cc9-6f83-cd5abd8ee0dc"
"MSExchange Transport Agent Installation - Builtin","medium","msexchange-management","","Detects the Installation of a Exchange Transport Agent","31aa27f1-7ac6-a316-2786-b13400c130f5"
"Valid Users Failing to Authenticate From Single Source Using Kerberos","medium","security","","Detects multiple failed logins with multiple valid domain accounts from a single source system using the Kerberos protocol.","32ce2d24-3d1c-2f81-cddb-d64b33fe9247"
"Task Created","informational","taskscheduler","","","33599dfb-f3e4-4298-8d3f-59407f65f4e7"
"SyncAppvPublishingServer Execution to Bypass Powershell Restriction","medium","powershell","","Detects SyncAppvPublishingServer process execution which usually utilized by adversaries to bypass PowerShell execution restrictions.","349e3bb4-b72b-193d-810e-7d9c145b863e"
"Network Communication Initiated To File Sharing Domains From Process Located In Suspicious Folder","high","","network_connection","Detects executables located in potentially suspicious directories initiating network connections towards file sharing domains.","34ba9d0c-a415-a91a-013b-30158906f18c"
"SMB Create Remote File Admin Share","high","security","","Look for non-system accounts SMB accessing a file with write (0x2) access mask via administrative share (i.e C$).","37f5d188-182d-7a53-dca7-4bebbb6ce43e"
"Suspicious PowerShell Invocations - Generic","high","powershell","","Detects suspicious PowerShell invocation command parameters","391b98f2-3f42-0d06-a295-18a2aa29d39a"
"ADCS Certificate Template Configuration Vulnerability","low","security","","Detects certificate creation with template allowing risk permission subject","3a655a7c-a830-77ad-fc8b-f054fb713304"
"Invoke-Obfuscation STDIN+ Launcher - Security","high","security","","Detects Obfuscated use of stdin to execute PowerShell","3ae69c7e-e865-c0e2-05b7-553ab8979ac0"
"Outbound Network Connection To Public IP Via Winlogon","medium","","network_connection","Detects a ""winlogon.exe"" process that initiate network communications with public IP addresses","3c6c2271-decf-a5c0-b983-edaa9cf7077d"
